Date,Weekly Close,Weekly Volume,Weekly Volatility,Weekly Variance,14 Week MA Volatility,Weekly Weighted Volume,14 Week VWAP MA,,Multiple calculation,Buy/Sell Multiplier,,Price lower 2 SD,price upper 2 SD,Price lower 3 SD,price upper 3 SD,Price lower 4 SD,price upper 4 SD,,AVG,MIN,MAX,AVG VAR,SD
,,,,,,,,,,,,,,,,,,,1.27%,-100.00%,45.94%,1.10%,10.51%
5-9-2022,"$30,076.31","$239,044,762,282",-22.01%,5.42%,11.69%,"$7,189,584,374,269,740","$40,481.42",,266.23%,2,,"$31,014.21","$49,948.64","$26,280.60","$54,682.24","$21,547.00","$59,415.85",266.23%,,,,,
5-16-2022,"$29,889.61","$357,800,928,090",-0.62%,0.04%,10.86%,"$10,694,530,198,248,100","$38,971.57",,222.61%,2,,"$30,507.47","$47,435.68","$26,275.41","$51,667.74","$22,043.36","$55,899.79",222.61%,,,,,
5-23-2022,"$29,088.25","$196,429,842,104",-2.68%,0.16%,10.86%,"$5,713,800,354,581,680","$38,069.83",,226.73%,2,,"$29,802.94","$46,336.73","$25,669.49","$50,470.17","$21,536.05","$54,603.62",226.73%,,,,,
5-30-2022,"$31,735.95","$196,327,562,570",9.10%,0.61%,10.77%,"$6,230,641,709,343,390","$37,691.26",,100.00%,,,"$29,570.39","$45,812.12","$25,509.96","$49,872.56","$21,449.53","$53,932.99",100.00%,,,,,
6-6-2022,"$31,333.68","$203,063,587,161",-1.27%,0.06%,9.60%,"$6,362,729,459,754,880","$36,890.18",,100.00%,,,"$29,808.53","$43,971.83","$26,267.70","$47,512.65","$22,726.88","$51,053.47",100.00%,,,,,
6-13-2022,"$22,316.26","$215,929,645,934",-28.78%,9.03%,11.77%,"$4,818,742,120,371,090","$35,750.78",,279.84%,3,,"$27,334.57","$44,166.99","$23,126.47","$48,375.09","$18,918.36","$52,583.20",308.61%,,,,,
6-20-2022,"$20,571.63","$309,685,915,250",-7.82%,0.83%,11.63%,"$6,370,744,064,734,360","$34,000.99",,237.78%,3,,"$26,089.24","$41,912.74","$22,133.37","$45,868.61","$18,177.50","$49,824.49",245.60%,,,,,
6-27-2022,"$20,751.05","$175,909,056,122",0.87%,0.00%,11.52%,"$3,650,297,619,040,430","$32,817.52",,223.77%,3,,"$25,255.17","$40,379.86","$21,474.00","$44,161.04","$17,692.83","$47,942.21",224.65%,,,,,
7-4-2022,"$20,226.30","$157,426,002,965",-2.53%,0.14%,10.17%,"$3,184,145,563,770,980","$31,271.35",,225.73%,3,,"$24,912.06","$37,630.63","$21,732.42","$40,810.27","$18,552.78","$43,989.91",228.26%,,,,,
7-11-2022,"$19,971.33","$206,953,871,021",-1.26%,0.06%,10.17%,"$4,133,144,052,937,830","$29,360.50",,223.19%,3,,"$23,391.14","$35,329.86","$20,406.46","$38,314.53","$17,421.78","$41,299.21",224.46%,,,,,
7-18-2022,"$22,305.71","$187,297,974,219",11.69%,1.08%,10.68%,"$4,177,814,296,516,490","$28,287.68",,100.00%,,,"$22,246.00","$34,329.37","$19,225.16","$37,350.21","$16,204.31","$40,371.06",100.00%,,,,,
7-25-2022,"$21,510.13","$244,312,089,708",-3.57%,0.23%,10.51%,"$5,255,184,810,190,740","$27,044.00",,100.00%,,,"$21,360.60","$32,727.41","$18,518.89","$35,569.11","$15,677.19","$38,410.82",100.00%,,,,,
8-1-2022,"$23,331.44","$223,759,636,595",8.47%,0.52%,11.00%,"$5,220,634,535,638,050","$25,987.98",,100.00%,,,"$20,271.43","$31,704.52","$17,413.16","$34,562.79","$14,554.89","$37,421.06",100.00%,,,,,
8-8-2022,"$23,803.65","$166,393,135,564",2.02%,0.01%,11.08%,"$3,960,763,961,368,010","$24,985.20",,100.00%,,,"$19,450.82","$30,519.58","$16,683.63","$33,286.77","$13,916.43","$36,053.96",100.00%,,,,,
8-15-2022,"$24,083.95","$195,343,016,900",1.18%,0.00%,9.61%,"$4,704,631,451,868,750","$24,526.45",,100.00%,,,"$19,813.31","$29,239.59","$17,456.74","$31,596.16","$15,100.17","$33,952.73",100.00%,,,,,
8-22-2022,"$21,301.08","$208,764,012,537",-11.55%,1.65%,10.00%,"$4,446,898,932,171,640","$23,628.72",,100.00%,,,"$18,901.14","$28,356.30","$16,537.35","$30,720.09","$14,173.56","$33,083.88",100.00%,,,,,
8-29-2022,"$20,270.96","$223,346,042,309",-4.84%,0.37%,10.03%,"$4,527,438,689,804,050","$23,003.45",,100.00%,,,"$18,387.15","$27,619.74","$16,079.00","$29,927.89","$13,770.85","$32,236.04",100.00%,,,,,
9-5-2022,"$19,797.80","$208,511,390,280",-2.33%,0.13%,9.51%,"$4,128,066,802,485,380","$22,189.27",,100.00%,,,"$17,968.57","$26,409.97","$15,858.22","$28,520.32","$13,747.87","$30,630.67",100.00%,,,,,
9-12-2022,"$22,364.72","$259,528,892,947",12.97%,1.37%,10.41%,"$5,804,291,022,669,630","$21,582.08",,100.00%,,,"$17,088.86","$26,075.29","$14,842.26","$28,321.89","$12,595.65","$30,568.50",100.00%,,,,,
9-19-2022,"$19,557.98","$261,900,187,496",-12.55%,1.91%,7.74%,"$5,122,238,629,043,020","$21,354.73",,100.00%,,,"$18,050.24","$24,659.23","$16,397.99","$26,311.48","$14,745.74","$27,963.73",100.00%,,,,,
9-26-2022,"$19,201.13","$252,873,598,365",-1.82%,0.10%,7.47%,"$4,855,458,835,774,150","$21,253.11",,100.00%,,,"$18,077.05","$24,429.16","$16,489.03","$26,017.19","$14,901.00","$27,605.21",100.00%,,,,,
10-3-2022,"$19,633.43","$280,290,121,527",2.25%,0.01%,7.50%,"$5,503,056,480,691,850","$21,134.26",,100.00%,,,"$17,965.51","$24,303.01","$16,381.13","$25,887.38","$14,796.75","$27,471.76",100.00%,,,,,
10-10-2022,"$19,154.40","$196,809,212,801",-2.44%,0.14%,7.49%,"$3,769,762,385,675,470","$21,055.08",,100.00%,,,"$17,899.11","$24,211.06","$16,321.12","$25,789.04","$14,743.13","$27,367.03",100.00%,,,,,
10-17-2022,"$19,557.02","$197,940,078,443",2.10%,0.01%,7.51%,"$3,871,118,072,911,320","$21,031.83",,100.00%,,,"$17,873.12","$24,190.54","$16,293.77","$25,769.89","$14,714.42","$27,349.25",100.00%,,,,,
10-24-2022,"$19,341.46","$175,664,450,104",-1.10%,0.06%,6.73%,"$3,397,606,935,108,510","$20,858.82",,100.00%,,,"$18,051.13","$23,666.52","$16,647.28","$25,070.36","$15,243.44","$26,474.21",100.00%,,,,,
10-31-2022,"$20,490.86","$302,335,723,765",5.94%,0.22%,6.91%,"$6,195,118,988,667,290","$20,773.09",,100.00%,,,"$17,903.40","$23,642.77","$16,468.56","$25,077.61","$15,033.72","$26,512.45",100.00%,,,,,
11-7-2022,"$20,568.57","$321,270,158,405",0.38%,0.01%,6.46%,"$6,608,067,742,064,330","$20,576.79",,100.00%,,,"$17,919.46","$23,234.12","$16,590.79","$24,562.79","$15,262.12","$25,891.45",100.00%,,,,,
11-14-2022,"$16,629.48","$471,409,252,759",-19.15%,4.17%,8.05%,"$7,839,290,740,570,730","$19,902.51",,256.86%,2,,"$16,697.08","$23,107.93","$15,094.37","$24,710.65","$13,491.66","$26,313.36",256.86%,,,,,
