date,btc_price,simple_investment,simple_btc,simple_value,simple_profit_pct,optimum_action,optimum_investment,optimum_btc,optimum_value,optimum_profit_pct,optimum_notes
2022-10-31,20490.86,250.0,0.3972646738811583,8140.294815444472,-24.276327298190957,BUY,754.9936628643853,1.4124638918644479,28942.599863249543,-20.904406378468217,"Excel: InvMult=2.020, BS=0, Amount=$755"
2022-11-07,20568.57,250.0,0.40941914062337714,8421.166253251777,-23.443943152256576,BUY,754.0644953009541,1.4491248991829417,29806.42692758728,-20.18841174819089,"Excel: InvMult=2.016, BS=0, Amount=$754"
2022-11-14,16629.48,250.0,0.4244526834641635,7058.427410613637,-37.258423016767665,BUY,1441.0801743206578,1.5357830613335717,25539.273702785402,-34.15518552749423,"Excel: InvMult=3.764, BS=2, Amount=$1441"
2022-11-21,15778.02,250.0,0.4402975106351266,6947.022928751241,-39.59110496738052,BUY,1381.0365946132754,1.623312205967263,25612.652451995596,-36.2363447442257,"Excel: InvMult=3.524, BS=2, Amount=$1381"
2022-11-28,16212.58,250.0,0.45571763500768175,7388.358614972841,-37.1203522129971,BUY,806.1484563694191,1.6730358438071022,27124.22746059015,-33.801778682788665,"Excel: InvMult=2.225, BS=0, Amount=$806"
2022-12-05,16961.35,250.0,0.4704570278036561,7979.586308537542,-33.50344742885382,BUY,797.1955185690031,1.7200365553406183,29174.142027926595,-30.157698037135194,"Excel: InvMult=2.189, BS=0, Amount=$797"
2022-12-12,17195.53,250.0,0.4849956898861857,8339.757935308602,-31.9203433852359,BUY,794.3954611760768,1.7662343440203552,30371.335649632336,-28.648578360020533,"Excel: InvMult=2.178, BS=0, Amount=$794"
2022-12-19,16424.13,250.0,0.5002171962917,8215.6322601304,-34.2749419189568,BUY,803.618982710381,1.8151635099920311,29812.48145936542,-31.259281031975107,"Excel: InvMult=2.214, BS=0, Amount=$804"
2022-12-26,16879.94,250.0,0.5150276754758677,8693.636260372117,-31.814617565708886,BUY,798.1689265131406,1.8624485670783206,31438.020065368026,-28.821134650382486,"Excel: InvMult=2.193, BS=0, Amount=$798"
2023-01-02,16688.72,250.0,0.5300078537040361,8845.152668267623,-31.960364090249055,BUY,800.4553172154865,1.9104124203406132,31882.337967586802,-29.10008159860022,"Excel: InvMult=2.202, BS=0, Amount=$800"
2023-01-09,17182.32,250.0,0.5445576933066043,9356.764544855932,-29.382909095426925,BUY,794.5534112920583,1.9566549191005047,33619.87094955899,-26.53424357927461,"Excel: InvMult=2.178, BS=0, Amount=$795"
2023-01-16,21180.41,250.0,0.5563610531093655,11783.955212888135,-12.711442867495295,BUY,746.7488102924648,1.991911498661168,42189.50222535799,-9.288206789440062,"Excel: InvMult=1.987, BS=0, Amount=$747"
2023-01-23,22929.02,250.0,0.5672642665916686,13006.813713965701,-5.404991171158538,SELL,-362.20538552609895,1.976114688089844,45310.37320550579,-1.8133543919066475,Excel: Sold $362 worth (0.015797 BTC)
2023-01-30,22799.43,250.0,0.5782294530020307,13183.301937658089,-5.833557588156509,SELL,-322.1758360219364,1.9619838156942648,44732.112667054294,-2.3849350541899,Excel: Sold $322 worth (0.014131 BTC)
2023-02-06,22745.17,250.0,0.5892207975380355,13401.927207538198,-5.951388017275805,SELL,-319.6926158526171,1.9479284089484539,44305.9628093621,-2.635634777243515,Excel: Sold $320 worth (0.014055 BTC)
2023-02-13,21798.72,250.0,0.600689360829825,13094.259183708324,-9.694764250287422,BUY,739.3557644020374,1.9818458024652308,43201.70173111488,-6.5801542759933564,"Excel: InvMult=1.957, BS=0, Amount=$739"
2023-02-20,24797.84,250.0,0.6107708840592676,15145.798659560269,2.6833807427814835,SELL,-692.9954001812237,1.9539000055659355,48452.49971402318,6.368201500452679,Excel: Sold $693 worth (0.027946 BTC)
2023-02-27,23504.19,250.0,0.6214072854838647,14605.674905396998,-2.628833964020014,SELL,-350.44455982429383,1.9389901295045058,45574.39241199851,0.8255523642338749,Excel: Sold $350 worth (0.014910 BTC)
2023-03-06,22414.7,250.0,0.6325606803541953,14178.657881935182,-7.025194216818481,BUY,731.9905779945955,1.9716468493354469,44193.87263379924,-3.7866937979584945,"Excel: InvMult=1.928, BS=0, Amount=$732"
2023-03-13,24154.43,250.0,0.6429107486439459,15529.142674367788,0.1880172539857261,BUY,711.1888705550374,2.001090262844068,48335.194677548636,3.624834332850341,"Excel: InvMult=1.845, BS=0, Amount=$711"
2023-03-20,27834.34,250.0,0.6518924597245751,18144.99636741013,15.206326142286544,SELL,-538.4310588405422,1.9817461340146958,55160.59568785061,19.63869880265757,Excel: Sold $538 worth (0.019344 BTC)
2023-03-27,27155.0,250.0,0.6610988673843062,17952.139743820837,12.200873398880232,BUY,587.6557380969463,2.0033869271686986,54401.97200726601,16.508320741489666,"Excel: InvMult=1.351, BS=0, Amount=$588"
2023-04-03,27850.98,250.0,0.6700752122023341,18662.251333542965,14.84462359103363,SELL,-474.8426225418199,1.9863375227117703,55321.446618295064,19.694699370034137,Excel: Sold $475 worth (0.017049 BTC)
2023-04-10,29687.57,250.0,0.6784962449780042,20142.90476752165,22.07821071225242,SELL,-505.7179388077617,1.9693028533599923,58463.81631032451,27.892982171071502,Excel: Sold $506 worth (0.017035 BTC)
2023-04-17,29469.51,250.0,0.6869795892887851,20244.951876341744,20.86538433636862,SELL,-475.3864847096669,1.953171384438057,57559.00364541116,27.23683302844518,Excel: Sold $475 worth (0.016131 BTC)
