duration,start_date,end_date,weeks,final_btc_price,optimum_btc,optimum_investment,optimum_value,optimum_profit,optimum_return_pct,simple_btc,simple_investment,simple_value,simple_profit,simple_return_pct,outperformance_pct,outperformance_ratio
4-Year,2016-11-25,2020-11-20,208,18663.78,-59.22313300367292,-413631.2644887526,-1105327.5252912906,-691696.260802538,0.0,13.347408393862485,52000.0,249113.09383320276,197113.09383320276,379.0636419869284,-379.0636419869284,0.0
4-Year,2016-12-02,2020-11-27,208,17101.6,-56.05223023416206,-404722.1103838067,-958582.8205725458,-553860.710188739,0.0,13.01858689746983,52000.0,222638.66568577004,170638.66568577004,328.1512801649424,-328.1512801649424,0.0
4-Year,2016-12-09,2020-12-04,208,18732.97,-52.72487199986839,-394700.6720392698,-987693.4454273747,-592992.7733881049,0.0,12.69914934446257,52000.0,237892.783695337,185892.783695337,357.4861224910327,-357.4861224910327,0.0
4-Year,2016-12-16,2020-12-11,208,18061.76,-50.72670847131174,-393429.3627049178,-916213.6339987994,-522784.2712938816,0.0,12.391056019985593,52000.0,223804.27997953497,171804.27997953497,330.39284611449034,-330.39284611449034,0.0
4-Year,2016-12-23,2020-12-18,208,23048.76,-41.53559569293508,-339157.3484072437,-957343.9765834943,-618186.6281762506,0.0,12.087674712397503,52000.0,278605.913404119,226605.91340411903,435.78060270022894,-435.78060270022894,0.0
4-Year,2016-12-30,2020-12-25,208,24669.16,-34.10578698485753,-297514.3010770135,-841361.116055368,-543846.8149783545,0.0,11.82178031029751,52000.0,291633.3899595789,239633.38995957893,460.8334422299595,-460.8334422299595,0.0
4-Year,2017-01-06,2021-01-01,208,29380.69,-39.67187224607469,-352419.77589540544,-1165586.9801815243,-813167.2042861189,0.0,11.585224387835071,52000.0,340381.886319422,288381.886319422,554.5805506142731,-554.5805506142731,0.0
4-Year,2017-01-13,2021-01-08,208,40775.4,-45.56633466857201,-401386.95481724123,-1857985.5226448912,-1456598.5678276499,0.0,11.31638683853452,52000.0,461430.1998959805,409430.1998959805,787.3657690307317,-787.3657690307317,0.0
4-Year,2017-01-20,2021-01-15,208,36710.32,-40.4831355652977,-366189.28928040457,-1486148.8612054596,-1119959.571925055,0.0,11.022574820252911,52000.0,404642.2488754269,352642.2488754269,678.1581709142824,-678.1581709142824,0.0
4-Year,2017-01-27,2021-01-22,208,32986.44,-41.24861741413035,-376884.307963539,-1360645.043414166,-983760.735450627,0.0,10.757407181611857,52000.0,354848.5665518086,302848.5665518086,582.4010895227088,-582.4010895227088,0.0
4-Year,2017-02-03,2021-01-29,208,34166.15,-36.39531236959439,-340317.2822138778,-1243487.7017164174,-903170.4195025396,0.0,10.493470942912914,52000.0,358521.5022562041,306521.5022562041,589.4644274157771,-589.4644274157771,0.0
4-Year,2017-02-10,2021-02-05,208,38045.41,-37.25167273444012,-358129.20528945397,-1417255.1623675956,-1059125.9570781416,0.0,10.256615151060318,52000.0,390217.1286343018,338217.1286343018,650.417555065965,-650.417555065965,0.0
4-Year,2017-02-17,2021-02-12,208,47525.21,-33.78845531187974,-335096.82162009296,-1605803.4342727,-1270706.612652607,0.0,10.01202306540925,52000.0,475823.49870841834,423823.49870841834,815.0451898238814,-815.0451898238814,0.0
4-Year,2017-02-24,2021-02-19,208,55820.5,-29.27781582890379,-309385.1788520798,-1634302.318477324,-1324917.1396252443,0.0,9.78758568429878,52000.0,546347.9266904,494347.9266904,950.6690897892307,-950.6690897892307,0.0
4-Year,2017-03-03,2021-02-26,208,46231.77,-25.786991991794693,-293723.4801394363,-1192178.2827564941,-898454.8026170578,0.0,9.582865486172626,52000.0,443032.833097671,391032.833097671,751.9862174955211,-751.9862174955211,0.0
4-Year,2017-03-10,2021-03-05,208,48800.82,-26.729061078741573,-315883.2862413594,-1304400.0984726732,-988516.8122313138,0.0,9.392932530710365,52000.0,458382.809703341,406382.809703341,781.5054032756558,-781.5054032756558,0.0
4-Year,2017-03-17,2021-03-12,208,57334.64,-34.636765302924935,-403656.8764044744,-1985886.469407692,-1582229.5930032176,0.0,9.196021551357324,52000.0,527250.5850793137,475250.5850793137,913.943432844834,-913.943432844834,0.0
4-Year,2017-03-24,2021-03-19,208,58168.12,-35.12247724655628,-415866.92842109007,-2043008.4711749554,-1627141.5427538652,0.0,8.959572717870005,52000.0,521161.5010017886,469161.5010017886,902.2336557726703,-902.2336557726703,0.0
4-Year,2017-03-31,2021-03-26,208,54817.86,-31.415817822800403,-385299.286594224,-1722147.9031957772,-1336848.6166015533,0.0,8.724452242311775,52000.0,478255.801595733,426255.801595733,819.7226953764095,-819.7226953764095,0.0
4-Year,2017-04-07,2021-04-02,208,59031.53,-29.565163579084693,-372837.86846149474,-1745276.8407736453,-1372438.9723121505,0.0,8.510389223672869,52000.0,502381.29676892166,450381.29676892166,866.1178784017725,-866.1178784017725,0.0
4-Year,2017-04-14,2021-04-09,208,58051.76,-30.900631363983873,-393295.65687803476,-1793836.0357904646,-1400540.3789124298,0.0,8.308313908273377,52000.0,482312.2450077481,430312.2450077481,827.5235480918232,-827.5235480918232,0.0
4-Year,2017-04-21,2021-04-16,208,61571.11,-29.26770922638694,-382053.3850632039,-1802045.3442258853,-1419991.9591626814,0.0,8.102737977111948,52000.0,498894.57128993724,446894.57128993724,859.4126370960332,-859.4126370960332,0.0
4-Year,2017-04-28,2021-04-23,208,50954.91,-24.323548449044182,-334129.176728594,-1239404.222101686,-905275.045373092,0.0,7.908370142382729,52000.0,402970.2888517992,350970.2888517992,674.942863176537,-674.942863176537,0.0
4-Year,2017-05-05,2021-04-30,208,57741.44,-18.22379609656655,-279541.4793837834,-1052268.2288821316,-772726.7494983482,0.0,7.739023813582931,52000.0,446862.37919057003,394862.37919057003,759.3507292126346,-759.3507292126346,0.0
4-Year,2017-05-12,2021-05-07,208,57341.07,-16.889788836682285,-275648.29206154816,-968478.5639694175,-692830.2719078693,0.0,7.59503112850913,52000.0,435507.21159202105,383507.21159202105,737.5138684461942,-737.5138684461942,0.0
4-Year,2017-05-19,2021-05-14,208,49997.4,-11.57097764952432,-223255.23485540322,-578518.7979343273,-355263.5630789241,0.0,7.455566912509252,52000.0,372758.9611514901,320758.9611514901,616.8441560605579,-616.8441560605579,0.0
4-Year,2017-05-26,2021-05-21,208,37174.33,-8.776894705726827,-198576.50928920353,-326275.18016594194,-127698.67087673841,0.0,7.341061452444925,52000.0,272899.04098346696,220899.04098346696,424.8058480451288,-424.8058480451288,0.0
4-Year,2017-06-02,2021-05-28,208,35596.72,-4.919997773322684,-158601.722882481,-175135.78313759103,-16534.06025511003,0.0,7.238110439082982,52000.0,257652.99062911398,205652.99062911398,395.48652044060384,-395.48652044060384,0.0
4-Year,2017-06-09,2021-06-04,208,36884.37,-4.71326234949895,-161829.5540947728,-173845.7124059886,-12016.158311215811,0.0,7.151711748115471,52000.0,263786.38225083787,211786.38225083787,407.28150432853437,-407.28150432853437,0.0
4-Year,2017-06-16,2021-06-11,208,37185.39,-5.0424156605995805,-170236.01574989897,-187504.19288150303,-17268.177131604054,0.0,7.065331169607087,52000.0,262727.09502099565,210727.09502099565,405.2444135019147,-405.2444135019147,0.0
4-Year,2017-06-23,2021-06-18,208,35714.31,-6.244351854430959,-189687.0136582719,-223012.71787822212,-33325.70421995022,0.0,6.974972268795467,52000.0,249106.3218491646,197106.3218491646,379.05061894070116,-379.05061894070116,0.0
4-Year,2017-06-30,2021-06-25,208,31683.5,-5.46073146768554,-178625.05208241733,-173015.08545641482,5609.9666260025115,0.0,6.879820360090688,52000.0,217976.78837893333,165976.78837893333,319.18613149794874,-319.18613149794874,0.0
4-Year,2017-07-07,2021-07-02,208,33782.95,-7.76592951987647,-208093.54799582314,-262356.00867351075,-54262.4606776876,0.0,6.789127766028742,52000.0,229356.76386336068,177356.76386336068,341.0706997372321,-341.0706997372321,0.0
4-Year,2017-07-14,2021-07-09,208,33914.88,-9.143037966864444,-225298.38404220762,-310085.03548165155,-84786.65143944393,0.0,6.688711951401869,52000.0,226846.8631863602,174846.8631863602,336.2439676660773,-336.2439676660773,0.0
4-Year,2017-07-21,2021-07-16,208,31455.72,-4.778218446596027,-166559.33294903667,-150302.3015549596,16257.031394077087,0.0,6.583428175525585,52000.0,207086.47332944366,155086.47332944366,298.2432179412378,-298.2432179412378,0.0
4-Year,2017-07-28,2021-07-23,208,33439.6,-4.2697361207997755,-158960.94564148193,-142778.26798509617,16182.677656385757,0.0,6.500784288950513,52000.0,217383.62630878956,165383.62630878956,318.0454352092107,-318.0454352092107,0.0
4-Year,2017-08-04,2021-07-30,208,41789.67,-1.5043750307157728,-121947.29072766876,-62867.33608985201,59079.95463781675,0.0,6.420127898465262,52000.0,268295.0262346568,216295.0262346568,415.95197352818616,-415.95197352818616,0.0
4-Year,2017-08-11,2021-08-06,208,42790.36,2.026614130112643,-77705.19507373539,86719.54820860682,164424.7432823422,0.0,6.352797879198249,52000.0,271838.5082581296,219838.5082581296,422.7663620348646,-422.7663620348646,0.0
4-Year,2017-08-18,2021-08-13,208,47717.49,1.3481544695857297,-91573.83628565658,64330.54742091236,155904.38370656894,0.0,6.3001240517518555,52000.0,300626.1064382286,248626.10643822863,478.12712776582424,-478.12712776582424,0.0
4-Year,2017-08-25,2021-08-20,208,49240.84,2.601251625647935,-76713.56748191046,128087.81509826987,204801.38258018033,0.0,6.242945271436381,52000.0,307407.8692395554,255407.86923955538,491.1689793068373,-491.1689793068373,0.0
4-Year,2017-09-01,2021-08-27,208,49048.48,2.723845632628144,-79208.51829465455,133600.48803504888,212809.00632970344,0.0,6.19090576767317,52000.0,303654.51772760216,251654.51772760216,483.9509956300042,-483.9509956300042,0.0
4-Year,2017-09-08,2021-09-03,208,49860.53,2.3517817534918417,-87309.40891205831,117261.08467343258,204570.49358549088,0.0,6.139064598144987,52000.0,306097.0145677461,254097.01456774608,488.64810493797324,-488.64810493797324,0.0
4-Year,2017-09-15,2021-09-10,208,44765.28,1.7671541073992476,-97251.9929061619,79107.14842087739,176359.14132703928,0.0,6.0844673084370156,52000.0,272372.88271302934,220372.88271302934,423.79400521736414,-423.79400521736414,0.0
4-Year,2017-09-22,2021-09-17,208,47213.79,1.074203363089895,-107696.57016740386,50717.212002220054,158413.7821696239,0.0,6.028755858471765,52000.0,284640.41306315566,232640.41306315566,447.38540973683786,-447.38540973683786,0.0
4-Year,2017-09-29,2021-09-24,208,42803.31,2.3163604433232567,-88538.06064406584,99147.89412730279,187685.95477136865,0.0,5.970793397997179,52000.0,255569.7207604266,203569.7207604266,391.4802322315896,-391.4802322315896,0.0
4-Year,2017-10-06,2021-10-01,208,48078.13,3.1322859909334095,-75718.60794219891,150594.45306927527,226313.06101147417,0.0,5.919688085261843,52000.0,284607.53332267,232607.53332266997,447.32217946667305,-447.32217946667305,0.0
4-Year,2017-10-13,2021-10-08,208,53933.53,4.9299913378846965,-48726.18925729429,265891.8357215444,314618.0249788387,0.0,5.872431967176615,52000.0,316720.985674679,264720.985674679,509.0788186051519,-509.0788186051519,0.0
4-Year,2017-10-20,2021-10-15,208,61446.08,5.280710232447789,-47300.29077515189,324478.94339980546,371779.2341749573,0.0,5.833363984465739,52000.0,358437.35005860054,306437.35005860054,589.3025962665395,-589.3025962665395,0.0
4-Year,2017-10-27,2021-10-22,208,60750.97,5.797665964341345,-43722.67407750732,352213.83106972213,395936.5051472295,0.0,5.794940298597969,52000.0,352048.24423191627,300048.24423191627,577.0158542921466,-577.0158542921466,0.0
4-Year,2017-11-03,2021-10-29,208,62230.81,7.470347427781466,-26214.301557702704,464885.7714122571,491100.0729699598,0.0,5.758051945594051,52000.0,358328.2365963937,306328.2365963937,589.0927626853725,-589.0927626853725,0.0
4-Year,2017-11-10,2021-11-05,208,61005.84,6.776473210062508,-37734.37363767009,413404.44041735976,451138.8140550298,0.0,5.726354479237232,52000.0,349341.06514362985,297341.06514362985,571.8097406608266,-571.8097406608266,0.0
4-Year,2017-11-17,2021-11-12,208,64078.97,9.07561104867528,-8785.667741909388,581555.8081197317,590341.4758616411,0.0,5.691709099941924,52000.0,364718.8566639056,312718.8566639056,601.382416661357,-601.382416661357,0.0
4-Year,2017-11-24,2021-11-19,208,58014.07,10.683550791350463,9387.914528774081,619796.2634579611,610408.348929187,6502.06547000697,5.66540023200626,52000.0,328672.9256376274,276672.9256376274,532.063318533899,5970.002151473071,12.220473096930302
4-Year,2017-12-01,2021-11-26,208,53800.62,12.60271604927163,31345.70561516323,678033.9371347643,646688.2315196011,2063.083981771241,5.644142344588512,52000.0,303658.3575071156,251658.35750711558,483.9583798213761,1579.1256019498646,4.262936789177415
4-Year,2017-12-08,2021-12-03,208,53671.62,16.25997618698636,77795.02155408009,872699.2631169809,794904.2415629008,1021.7932017800318,5.626836276485622,52000.0,302001.41843375127,250001.41843375127,480.77195852644473,541.021243253587,2.1253178012124607
4-Year,2017-12-15,2021-12-10,208,47437.23,17.335939128512486,91908.0993645436,822368.9317052464,730460.8323407029,794.7730802738163,5.616967168976942,52000.0,266453.36349720805,214453.36349720805,412.4103144177078,382.36276585610847,1.927141617192518
4-Year,2017-12-22,2021-12-17,208,46334.48,14.552026849179885,56451.11676850472,674260.5970027884,617809.4802342837,1094.414983440988,5.6091403732016065,52000.0,259896.6024393024,207896.6024393024,399.80115853712,694.6138249038679,2.7373982292734547
4-Year,2017-12-29,2021-12-24,208,50889.0,14.161708767363049,51411.73717227077,720675.1974623381,669263.4602900674,1301.7717297657055,5.596710150530763,52000.0,284810.98285036,232810.98285036,447.7134285583846,854.0583012073209,2.9076003682921616
4-Year,2018-01-05,2021-12-31,208,46355.12,15.103787317821501,63092.835023122505,700137.8735720939,637045.0385489714,1009.6947431756787,5.5830667935077525,52000.0,258803.7311810671,206803.7311810671,397.69948304051366,611.995260135165,2.5388384602773573
